Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
A1,0.2129,1.8285,0.0066,233.3092,-3.5168,0.0063,0.007,0.0065,0.0068
A2,0.1684,-1.6987,0.0045,236.7302,-3.583,0.0043,0.0048,0.0044,0.0047
A3,0.1807,1.6325,0.0046,243.0639,-3.4874,0.0043,0.0049,0.0044,0.0047
A5,0.1852,2.1885,0.0047,222.7703,-3.791,0.0046,0.0049,0.0046,0.0048
A6,0.1773,2.2338,0.0046,206.2621,-3.9322,0.0045,0.0047,0.0046,0.0047
A7,0.1945,2.1055,0.0048,213.6074,-3.5646,0.0046,0.005,0.0047,0.0049
F1,0.1997,2.024,0.004,156.521,-5.4706,0.004,0.0041,0.004,0.004
F2,0.2561,2.0132,0.0042,146.243,-5.4663,0.0042,0.0042,0.0042,0.0042
F3,0.2296,2.0854,0.0042,122.3591,-5.2692,0.0041,0.0042,0.0042,0.0042
F5,0.211,2.1008,0.0039,117.4111,-5.5296,0.0039,0.004,0.0039,0.004
F6,0.1636,2.0877,0.0039,97.5145,-5.5511,0.0039,0.0039,0.0039,0.0039
F7,0.2053,2.0014,0.0037,69.9567,-5.0062,0.0036,0.0037,0.0036,0.0037
