Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
A1,-20.5451,23.8882,0.0283,-940.6748,-1.9863,NA,NA,0.0279,0.0287
A2,-6.3572,14.1381,0.0227,-272.6656,-2.0638,0.0198,0.03,0.0217,0.0238
A3,-67.5517,75.4486,0.1051,-839.7687,-1.7975,NA,NA,0.1046,0.1056
A4,-13.6891,21.4096,0.0312,-452.8639,-2.6032,0.0276,NA,0.0311,0.0313
A6,-2.4563,12.3684,0.019,-141.5164,-2.2771,0.0184,0.0198,0.0186,0.0194
A7,-3.321,10.1145,0.0165,-198.9825,-2.8346,0.0157,0.0177,0.0161,0.0169
B1,0.3996,9.9362,0.0218,93.9125,-1.0231,0.0203,0.0236,0.0207,0.0229
B2,-0.0276,8.863,0.0183,50.5629,-2.2024,0.0179,0.0187,0.018,0.0186
B3,-0.4181,9.7362,0.0214,-6.5172,-2.5358,0.0211,0.0217,0.0211,0.0217
B5,-0.0296,5.7347,0.0119,17.731,-2.8852,0.0117,0.0121,0.0117,0.0121
B6,-0.0175,7.3134,0.0148,26.8496,-2.6609,0.0146,0.0151,0.0146,0.015
B7,-1.2723,8.0702,0.0149,-99.8267,-2.6382,0.0145,0.0155,0.0146,0.0153
C1,-0.7571,10.7256,0.0208,-10.8923,-2.8815,0.0206,0.021,0.0206,0.021
C2,-0.1019,4.3828,0.0102,9.596,-3.5344,0.0101,0.0103,0.0101,0.0103
C3,-0.0236,3.8538,0.0107,29.2466,-3.3616,0.0105,0.0109,0.0106,0.0109
C5,-2.0352,10.6954,0.0205,-104.9927,-2.9712,0.0201,0.021,0.0203,0.0208
C6,-0.5646,3.7441,0.0082,-68.6019,-3.9814,0.0081,0.0083,0.0081,0.0083
C7,-0.2818,4.6346,0.0093,-23.0533,-3.6571,0.0092,0.0094,0.0092,0.0094
D1,-0.4827,5.6058,0.0099,-7.1447,-3.1894,0.0098,0.0101,0.0098,0.0101
D2,-50.7135,54.5875,0.1011,-724.0787,-3.5273,NA,NA,0.1009,0.1014
D3,-3.2812,15.1505,0.0292,-102.5395,-3.2046,0.0289,0.0295,0.029,0.0294
D5,-3.6389,11.6231,0.0214,-178.5778,-2.8965,0.0205,0.0226,0.0211,0.0218
D6,-1.6784,9.2828,0.0171,-99.4438,-2.4597,0.0166,0.0177,0.0167,0.0174
D7,-1.1268,11.0951,0.0216,-36.7809,-2.4962,0.0213,0.0219,0.0213,0.0219
E1,-25.4715,27.3469,0.0576,-647.529,-3.5255,NA,NA,0.0573,0.0579
E2,-2.1742,8.7236,0.0195,-108.6104,-3.1616,0.019,0.0202,0.0192,0.0198
E3,-0.95,5.0091,0.01,-110.9042,-2.8103,0.0095,0.011,0.0095,0.0104
E5,-0.1609,9.2725,0.0177,41.5714,-2.6813,0.0174,0.0179,0.0175,0.0178
E6,-0.9309,4.4293,0.0117,-77.9971,-4.9398,0.0116,0.0118,0.0117,0.0118
E7,-0.7053,4.0625,0.0108,-64.3682,-4.1123,0.0106,0.011,0.0107,0.0109
