Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B2,0.0323,1.5403,0.2702,12.3806,-3.3584,0.2606,0.2804,0.2603,0.28
B3,0.0336,1.5631,0.2664,11.9601,-3.3509,0.2571,0.2762,0.2569,0.2758
B4,0.0221,1.69,0.2451,11.628,-3.2808,0.2347,0.2561,0.2345,0.2557
B5,0.0403,1.5575,0.2399,10.8412,-3.2747,0.2312,0.2492,0.231,0.2488
B6,0.0335,1.5669,0.26,13.2061,-3.3867,0.2514,0.269,0.2512,0.2688
B7,0.0398,1.5088,0.2309,10.6685,-3.1523,0.2202,0.2425,0.2199,0.242
B8,0.0334,1.631,0.2306,12.1975,-3.1414,0.2206,0.2413,0.2204,0.2409
B9,0.0442,1.4827,0.2354,10.0109,-3.2495,0.2258,0.2456,0.2256,0.2452
B10,0.0373,-1.569,0.2465,12.1192,-3.2959,0.2378,0.2557,0.2376,0.2554
B11,0.0297,1.5921,0.1961,11.0172,-3.3359,0.1875,0.2053,0.1873,0.2049
C2,0.0462,1.5413,0.2749,9.0831,-3.4313,0.2658,0.2845,0.2656,0.2842
C3,0.0633,-1.4873,0.2724,8.6368,-3.4923,0.2636,0.2816,0.2634,0.2813
C4,0.0382,1.6926,0.2415,7.7257,-3.3395,0.2313,0.2523,0.2311,0.2518
C5,0.042,1.5604,0.2415,8.8776,-3.286,0.2328,0.2507,0.2326,0.2504
C6,0.0448,1.5414,0.2692,9.1315,-3.4509,0.2606,0.2783,0.2604,0.278
C7,0.0461,1.5379,0.2438,9.7477,-3.1937,0.2336,0.2548,0.2333,0.2544
C8,0.037,1.6211,0.2343,11.7683,-3.0933,0.2234,0.2461,0.2231,0.2456
C9,0.0376,1.4061,0.2276,10.444,-3.3064,0.2183,0.2376,0.218,0.2372
C10,0.0396,1.5526,0.2439,11.4976,-3.3133,0.2354,0.2529,0.2352,0.2526
C11,0.0267,1.5923,0.2034,10.4171,-3.3219,0.1947,0.2127,0.1944,0.2123
D2,0.0376,1.5939,0.2717,10.6177,-3.3484,0.2624,0.2816,0.2622,0.2813
D3,0.0505,1.4823,0.2658,8.5102,-3.4756,0.2571,0.275,0.2569,0.2748
D4,0.0471,-1.5455,0.2732,8.5487,-3.3958,0.2639,0.2831,0.2637,0.2828
D5,0.0441,1.6228,0.2478,8.6166,-3.3037,0.2395,0.2566,0.2393,0.2563
