Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
A1,-0.3199,2.7429,0.0038,-116.9987,-2.8464,0.0036,0.0041,0.0036,0.004
A2,0.2537,2.031,0.0043,203.4464,-3.7512,0.0042,0.0044,0.0042,0.0043
A3,0.2374,2.0441,0.0039,150.1628,-3.9742,0.0039,0.004,0.0039,0.004
A5,0.2244,2.0779,0.0039,152.2989,-3.9423,0.0039,0.004,0.0039,0.004
A6,0.2434,2.0545,0.0038,142.3705,-3.8538,0.0037,0.0038,0.0037,0.0038
A7,0.2887,1.9947,0.0038,146.8133,-3.8509,0.0038,0.0039,0.0038,0.0039
B1,0.3383,1.9353,0.0037,110.3563,-3.4055,0.0036,0.0038,0.0036,0.0037
B3,0.3351,1.7868,0.0044,169.7839,-3.9219,0.0043,0.0045,0.0043,0.0044
B5,0.383,1.8571,0.0037,49.0013,-4.0233,0.0037,0.0038,0.0037,0.0038
B6,0.3951,1.8709,0.0037,48.5488,-4.1108,0.0037,0.0038,0.0037,0.0038
B7,0.2444,2.0129,0.0041,115.6102,-3.9906,0.004,0.0041,0.004,0.0041
C1,0.2227,2.1389,0.0039,90.7363,-4.3649,0.0039,0.004,0.0039,0.004
C2,0.4063,1.7487,0.0043,124.2384,-4.3512,0.0043,0.0044,0.0043,0.0044
C3,0.3478,1.8063,0.0044,128.892,-3.912,0.0043,0.0045,0.0043,0.0044
C5,0.3704,1.8047,0.0042,135.1698,-3.986,0.0041,0.0042,0.0041,0.0042
C6,0.7655,1.4141,0.0036,39.5652,-4.0573,0.0035,0.0037,0.0036,0.0037
C7,0.4995,1.7266,0.0037,56.5292,-4.878,0.0037,0.0037,0.0037,0.0037
D1,0.2586,2.1001,0.0041,111.2763,-4.2702,0.0041,0.0042,0.0041,0.0041
D2,0.4163,1.7681,0.0043,118.5138,-4.3038,0.0042,0.0043,0.0042,0.0043
D3,0.3209,1.8918,0.0046,146.3273,-4.0144,0.0046,0.0047,0.0046,0.0047
D5,0.4269,1.6994,0.0047,116.4194,-3.9777,0.0046,0.0048,0.0046,0.0048
D6,0.2484,1.9822,0.0047,167.2411,-3.6694,0.0046,0.0048,0.0047,0.0048
D7,0.2994,1.9099,0.0047,130.9024,-3.7863,0.0046,0.0047,0.0046,0.0047
E1,0.1968,2.1479,0.004,29.1754,-3.9972,0.0039,0.004,0.0039,0.004
E2,0.2123,2.1145,0.0039,92.1047,-4.1721,0.0039,0.004,0.0039,0.004
E3,0.2198,2.0624,0.0047,118.0046,-4.2544,0.0046,0.0047,0.0046,0.0047
E5,0.2637,1.9568,0.0039,255.1898,-3.0708,0.0037,0.0041,0.0038,0.004
E6,0.2609,1.9259,0.0041,369.9517,-3.243,0.004,0.0043,0.0041,0.0042
E7,0.2331,1.9597,0.0029,146.0855,-3.0426,0.0028,0.003,0.0028,0.003
F1,0.15,3.1829,0.0028,-35.0202,-3.4305,NA,NA,0.0027,0.0028
F2,0.2296,2.1773,0.0042,496.9998,-2.377,0.0039,0.0045,0.004,0.0044
F3,0.3559,1.8785,0.0035,40.35,-3.4119,0.0034,0.0036,0.0034,0.0036
F5,0.2676,2.0783,0.0032,95.6392,-4.7638,0.0032,0.0032,0.0032,0.0032
F6,0.517,1.7427,0.0095,731.6077,-1.7584,0.007,0.013,0.0083,0.0107
F7,0.2116,2.0662,0.0077,586.7728,-2.9778,0.0072,0.0081,0.0074,0.0079
