Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
A1,0.1963,1.8842,0.006,217.9549,-3.0684,0.0056,0.0063,0.0058,0.0062
A2,0.0517,1.9994,0.0029,125.6131,-2.6361,0.0027,0.0031,0.0027,0.003
A3,0.0879,1.7622,0.0031,146.2137,-2.0547,0.0026,0.0037,0.0028,0.0034
A5,0.1901,1.8191,0.0047,218.315,-2.1258,0.0041,0.0054,0.0043,0.0051
A6,0.1751,1.9096,0.0045,195.8859,-2.6186,0.0042,0.0048,0.0043,0.0047
A7,0.1968,1.7431,0.0047,207.033,-1.7875,0.0038,0.006,0.0042,0.0053
B1,0.1747,2.0522,0.0048,50.7719,-4.6158,0.0047,0.0048,0.0048,0.0048
B2,0.3137,1.8187,0.0045,125.9641,-3.8415,0.0044,0.0046,0.0044,0.0046
B3,0.3202,1.8004,0.0045,111.9814,-3.7768,0.0044,0.0046,0.0045,0.0046
B5,0.2889,1.7921,0.0044,162.4033,-3.9319,0.0043,0.0044,0.0043,0.0044
B6,0.3532,1.7388,0.0041,128.5781,-4.1245,0.004,0.0042,0.004,0.0041
B7,0.2755,1.7766,0.0042,105.8507,-3.8318,0.0041,0.0043,0.0041,0.0043
C1,0.2128,2.0745,0.0043,88.4729,-4.0158,0.0043,0.0044,0.0043,0.0044
C2,0.3072,1.805,0.0047,82.4246,-4.2966,0.0047,0.0048,0.0047,0.0048
C3,0.2938,1.8118,0.0047,95.6551,-4.1634,0.0047,0.0048,0.0047,0.0048
C5,0.2282,1.8954,0.0042,56.0154,-4.2189,0.0041,0.0042,0.0041,0.0042
C6,0.2809,1.7914,0.0044,138.8704,-3.9417,0.0043,0.0045,0.0043,0.0044
C7,0.2929,1.835,0.0039,62.6002,-4.3844,0.0039,0.004,0.0039,0.004
D1,0.183,2.1168,0.0042,59.74,-3.9092,0.0041,0.0042,0.0041,0.0042
D2,0.2775,1.8719,0.005,108.9083,-3.9533,0.0049,0.0051,0.005,0.0051
D3,0.3306,1.8075,0.0048,109.6237,-4.1027,0.0047,0.0048,0.0047,0.0048
D5,0.2809,1.8778,0.0043,107.9717,-4.1728,0.0043,0.0044,0.0043,0.0044
D6,0.2338,1.8854,0.0041,40.1282,-4.2737,0.004,0.0041,0.004,0.0041
D7,0.2218,1.9327,0.0043,119.6235,-4.2462,0.0042,0.0044,0.0043,0.0043
E1,0.287,1.9705,0.0042,81.423,-4.7622,0.0042,0.0042,0.0042,0.0042
E2,0.2098,2.0247,0.0045,112.5318,-4.2567,0.0044,0.0045,0.0044,0.0045
E3,0.333,1.7723,0.0049,135.2246,-4.1501,0.0049,0.005,0.0049,0.005
E5,0.2889,1.8145,0.0044,133.193,-3.7456,0.0043,0.0045,0.0043,0.0045
E6,0.2907,1.8009,0.0046,155.3189,-3.6521,0.0045,0.0047,0.0045,0.0047
E7,0.2959,1.8108,0.0044,136.5202,-3.8934,0.0043,0.0045,0.0043,0.0045
F1,0.1872,2.1931,0.0039,151.8595,-3.9833,0.0039,0.004,0.0039,0.004
F2,0.2538,2.0161,0.0041,144.3637,-4.2943,0.0041,0.0042,0.0041,0.0042
F3,0.2268,2.0997,0.0041,120.7653,-4.4778,0.0041,0.0042,0.0041,0.0042
F5,0.2078,2.1505,0.0039,116.5791,-4.2482,0.0039,0.004,0.0039,0.004
F6,0.1272,2.2634,0.0038,81.4167,-4.0361,0.0037,0.0038,0.0037,0.0038
F7,0.1365,2.3236,0.0035,42.1304,-3.8259,0.0034,0.0036,0.0034,0.0035
