Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B2,-0.0753,0.4778,0.0204,-8.96,-5.6269,0.0188,0.0234,0.0197,0.021
B3,0.0174,-0.2053,0.0103,-6.7348,-6.0141,0.0095,0.0128,0.0099,0.0107
B4,0.0949,0.1946,0.0175,0.625,-6.0571,0.0172,0.0179,0.0172,0.0179
B5,-0.5481,-2.3476,0.1452,-5.907,-4.7152,0.1395,0.1529,0.1387,0.1518
B6,-0.511,1.0987,0.036,-17.6407,-5.6169,0.0329,0.0385,0.0348,0.0372
B7,-0.2685,0.6681,0.0222,-16.7957,-5.7896,0.0206,0.025,0.0213,0.0232
C2,-0.0191,0.7789,0.0471,-3.7732,-5.9975,0.0465,0.0477,0.0465,0.0476
C4,0.088,1.0291,0.0522,-0.4044,-4.6623,0.0514,0.053,0.0514,0.053
C5,-0.1886,1.9532,0.0528,-6.48,-4.2186,0.0519,0.0538,0.052,0.0537
