Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
A1,-2.3112,11.0867,0.0152,-118.4848,-1.4522,0.0144,0.0165,0.0144,0.016
A2,0.0885,8.7175,0.0184,203.3254,-2.2943,0.018,0.0187,0.0181,0.0186
A3,0.0139,8.7362,0.0167,150.0972,-2.5213,0.0165,0.017,0.0165,0.0169
A5,0.0895,10.0871,0.0191,152.2793,-2.363,0.0188,0.0194,0.0189,0.0193
A6,0.0405,8.7799,0.0161,142.3787,-2.4014,0.0158,0.0164,0.0159,0.0163
A7,0.1594,8.0109,0.0154,146.8118,-2.461,0.0152,0.0157,0.0152,0.0156
B1,0.0914,6.2434,0.0118,110.3645,-2.2347,0.0115,0.0122,0.0116,0.0121
B3,0.2095,6.4504,0.0158,169.8005,-2.6384,0.0155,0.0161,0.0156,0.0161
B5,-0.1626,4.0645,0.0081,48.8466,-3.2398,0.008,0.0083,0.008,0.0082
B6,-0.1721,3.9228,0.0078,48.4441,-3.3703,0.0077,0.0079,0.0077,0.0079
B7,0.1059,9.1079,0.0184,115.5742,-2.4811,0.0181,0.0187,0.0182,0.0186
C1,-0.0702,8.9518,0.0164,90.5288,-2.9339,0.0163,0.0166,0.0163,0.0165
C2,0.1164,4.8037,0.0119,124.2575,-3.3408,0.0117,0.012,0.0118,0.012
C3,0.2157,6.3163,0.0153,128.8443,-2.6608,0.015,0.0156,0.0151,0.0155
C5,0.2388,6.0359,0.0139,135.1433,-2.778,0.0137,0.0142,0.0138,0.0141
C6,-0.0529,1.7503,0.0045,39.4258,-3.8447,0.0044,0.0046,0.0044,0.0046
C7,-0.02,3.385,0.0073,56.6691,-4.203,0.0072,0.0074,0.0072,0.0073
D1,0.0378,8.4348,0.0165,111.2015,-2.8819,0.0163,0.0167,0.0164,0.0166
D2,0.0844,4.6041,0.0112,118.5064,-3.3459,0.011,0.0113,0.0111,0.0113
D3,0.22,7.1933,0.0176,146.3306,-2.6789,0.0173,0.0179,0.0174,0.0178
D5,0.1537,4.5932,0.0127,116.3683,-2.9831,0.0125,0.013,0.0125,0.0129
D6,0.2806,10.2178,0.0244,167.2111,-2.03,0.0239,0.025,0.024,0.0248
D7,0.2791,8.1627,0.0199,130.8338,-2.3341,0.0195,0.0203,0.0196,0.0202
D8,-0.1793,0.2511,0.0022,-88.2146,-5.9781,NA,NA,0.0014,0.0031
E1,-0.3226,7.4081,0.0137,29.0237,-2.76,0.0135,0.0139,0.0135,0.0138
E2,-0.0809,9.1532,0.017,92.1093,-2.705,0.0168,0.0172,0.0169,0.0172
E3,0.0872,10.211,0.0231,117.9474,-2.6552,0.0228,0.0234,0.0229,0.0233
E5,0.5247,11.3105,0.0225,255.1467,-1.3164,0.0216,0.0235,0.0219,0.0231
E6,0.535,11.329,0.0244,369.9513,-1.4708,0.0234,0.0253,0.0238,0.0249
E7,0.2329,10.3697,0.0154,145.9125,-1.376,0.0148,0.016,0.015,0.0158
F1,-0.6674,7.4701,0.0065,-38.2972,-2.5838,0.0063,0.0067,0.0064,0.0066
F2,0.1094,10.5187,0.0202,497.0132,-0.8018,0.0188,0.0218,0.0193,0.0211
F3,-0.1832,4.3083,0.0081,40.3046,-2.5814,0.0079,0.0083,0.0079,0.0083
F5,-0.0681,7.2128,0.011,95.9205,-3.5107,0.011,0.0111,0.011,0.0111
F6,1.707,9.124,0.0497,731.6017,-0.1029,0.0366,0.0679,0.0347,0.0647
F7,0.1424,11.19,0.0413,586.4008,-1.2899,0.0389,0.0438,0.04,0.0425
