Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
F11,0.0175,1.6102,0.1853,16.8542,-3.8437,0.182,0.1887,0.1819,0.1886
G2,0.0443,1.4861,0.253,9.5365,-3.4827,0.2449,0.2615,0.2448,0.2613
G3,0.0428,1.4489,0.246,8.9624,-3.6129,0.239,0.2534,0.2389,0.2532
G4,0.0367,1.3977,0.2477,10.5086,-3.5424,0.2397,0.2561,0.2395,0.2559
G5,0.1271,1.6721,0.2801,7.2504,-3.287,0.2705,0.2903,0.2703,0.29
G6,0.0359,1.5112,0.2521,12.1455,-3.4272,0.2437,0.2609,0.2435,0.2607
G7,0.042,1.6408,0.2318,13.397,-3.0561,0.2209,0.2434,0.2206,0.2429
G8,0.0289,-1.5691,0.2355,12.08,-3.3464,0.2257,0.246,0.2255,0.2456
G9,0.0302,1.5286,0.2307,14.4794,-3.3145,0.2225,0.2393,0.2223,0.239
G10,0.0315,-1.6281,0.1717,15.01,-3.6162,0.168,0.1755,0.168,0.1754
G11,0.0308,1.5471,0.1701,16.8758,-3.7047,0.1664,0.1738,0.1664,0.1737
