Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B2,0.0345,1.5692,0.2599,10.751,-3.4453,0.2518,0.2684,0.2516,0.2681
B3,0.0382,1.4614,0.2517,12.1147,-3.3375,0.242,0.2619,0.2417,0.2616
B4,0.0392,1.5377,0.2653,10.1188,-3.4772,0.2571,0.274,0.2569,0.2738
B5,0.0529,1.7152,0.2776,10.8598,-3.1922,0.2675,0.2883,0.2673,0.2879
B6,0.0364,1.4414,0.2452,11.4006,-3.4556,0.2368,0.254,0.2366,0.2537
B7,0.0306,1.6473,0.2179,11.7307,-3.1966,0.2083,0.228,0.2081,0.2276
B8,0.0303,1.4805,0.2054,9.7115,-3.3648,0.1967,0.2148,0.1965,0.2144
B9,0.0436,1.6648,0.2428,11.7154,-3.3302,0.2352,0.2507,0.2351,0.2504
B10,0.0355,1.6422,0.2204,10.3839,-3.5009,0.2149,0.2263,0.2148,0.2261
B11,0.0233,1.5454,0.1643,13.6418,-3.6885,0.1609,0.1678,0.1608,0.1678
C2,0.0526,1.5709,0.2626,8.8595,-3.4397,0.2544,0.2713,0.2542,0.2711
C3,0.0341,1.4311,0.2447,10.2147,-3.5258,0.2369,0.2529,0.2367,0.2527
C4,0.0528,1.5513,0.2671,10.8639,-3.4535,0.2587,0.276,0.2585,0.2757
C5,0.1039,1.6141,0.2756,7.4421,-3.3839,0.2668,0.2849,0.2666,0.2846
C6,0.0623,1.483,0.2527,8.7614,-3.452,0.2444,0.2614,0.2442,0.2612
C7,0.0309,1.63,0.2274,13.1556,-3.1379,0.2177,0.2377,0.2175,0.2374
C8,0.0629,1.5534,0.2366,9.6673,-3.4249,0.2277,0.246,0.2275,0.2456
C9,0.0447,1.5421,0.2339,9.8961,-3.4189,0.2266,0.2415,0.2265,0.2413
C10,0.0362,-1.517,0.2064,11.571,-3.5121,0.2007,0.2122,0.2006,0.2121
C11,0.0277,1.666,0.1819,11.8021,-3.7497,0.1786,0.1854,0.1786,0.1853
D2,0.0539,1.5974,0.2668,8.7666,-3.4247,0.2584,0.2755,0.2582,0.2753
D3,0.0427,1.4563,0.2463,8.8456,-3.5773,0.2391,0.2539,0.2389,0.2537
D4,0.0343,-1.5012,0.258,11.4241,-3.4854,0.2498,0.2666,0.2497,0.2664
D5,0.0782,1.6147,0.2655,7.1214,-3.3552,0.2569,0.2745,0.2567,0.2742
D6,0.0377,1.3707,0.2337,10.9979,-3.4928,0.2256,0.2422,0.2254,0.2419
D7,0.0394,1.6283,0.2235,10.144,-3.1696,0.2135,0.2342,0.2133,0.2338
D8,0.0733,1.4894,0.2601,9.6193,-3.467,0.2516,0.269,0.2514,0.2687
D9,0.0502,1.6275,0.2395,9.5312,-3.3469,0.232,0.2474,0.2318,0.2472
D10,0.0349,1.6353,0.2112,10.3349,-3.5398,0.2062,0.2165,0.2061,0.2164
D11,0.0175,1.5048,0.1224,15.0309,-3.6933,0.12,0.1248,0.12,0.1247
E2,0.0276,-1.5521,0.2539,14.2649,-3.3047,0.2446,0.2637,0.2444,0.2633
E3,0.035,1.2975,0.2236,9.2588,-3.6503,0.2167,0.2309,0.2166,0.2307
E4,0.0342,1.5567,0.2631,10.5204,-3.4894,0.2551,0.2714,0.255,0.2711
E5,0.0348,1.493,0.211,8.5068,-3.4272,0.202,0.2208,0.2017,0.2203
E6,0.0393,1.3683,0.2394,9.0741,-3.5262,0.2313,0.2479,0.2312,0.2476
E7,0.0377,1.6101,0.2149,10.1923,-3.2041,0.205,0.2253,0.2048,0.2249
E8,0.0467,1.4198,0.2132,10.109,-3.5117,0.2046,0.2223,0.2044,0.2219
E9,0.0492,-1.5359,0.2324,10.2621,-3.3238,0.2243,0.2409,0.2241,0.2406
E10,0.0366,1.6068,0.2158,10.6935,-3.5107,0.2103,0.2215,0.2102,0.2214
E11,0.0367,1.5899,0.1933,17.5117,-3.7487,0.1894,0.1974,0.1893,0.1974
F2,0.0496,1.516,0.2576,8.8325,-3.4655,0.2494,0.2662,0.2492,0.2659
F3,0.033,-1.4805,0.2476,10.1906,-3.5593,0.2403,0.2552,0.2401,0.255
F4,0.0478,1.5135,0.2638,11.0386,-3.4291,0.255,0.2731,0.2548,0.2729
F5,0.0647,-1.6611,0.2725,7.4703,-3.3633,0.264,0.2814,0.2638,0.2812
F6,0.033,1.506,0.2494,12.9504,-3.3952,0.2408,0.2585,0.2406,0.2582
F7,0.0313,1.5357,0.2058,10.5822,-3.2588,0.1963,0.2159,0.1961,0.2154
F8,0.0454,1.5442,0.2616,9.4083,-3.5038,0.2538,0.2698,0.2536,0.2695
F9,0.0526,-1.6486,0.2424,8.8821,-3.4157,0.2354,0.2497,0.2353,0.2495
F10,0.0356,1.5829,0.2121,10.9177,-3.5371,0.2068,0.2177,0.2067,0.2176
