Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B2,0.0508,-1.5002,0.2492,11.5194,-3.4223,0.241,0.2579,0.2408,0.2577
B3,0.0333,1.5657,0.2438,13.3031,-3.3922,0.236,0.2521,0.2358,0.2519
B4,0.0335,1.6235,0.2511,13.6241,-3.329,0.2429,0.2599,0.2427,0.2596
B5,0.0409,-1.5546,0.2543,13.4725,-3.2793,0.2449,0.2642,0.2446,0.2639
B6,0.0435,1.5123,0.2482,14.2849,-3.3252,0.2391,0.2579,0.2389,0.2576
B7,0.0613,1.5615,0.1903,14.7071,-3.2373,0.1839,0.197,0.1837,0.1968
B8,0.0367,1.787,0.153,12.7763,-3.295,0.1479,0.1583,0.1478,0.1582
B9,0.0468,1.6233,0.1808,15.53,-3.0579,0.1735,0.1885,0.1733,0.1882
B10,0.0426,1.6628,0.1623,11.7484,-3.2436,0.1566,0.1683,0.1565,0.1681
B11,0.0689,1.5274,0.1915,10.4496,-3.2499,0.1849,0.1985,0.1848,0.1983
C2,0.0737,1.4656,0.2511,11.1147,-3.4197,0.2425,0.2603,0.2423,0.26
C3,0.0444,-1.2838,0.2231,10.6424,-3.5722,0.2155,0.2311,0.2153,0.2309
C4,0.0257,1.6162,0.2446,16.0827,-3.2871,0.2362,0.2534,0.236,0.2532
C5,0.0947,1.7123,0.2765,11.0793,-3.1653,0.2662,0.2874,0.2659,0.2871
C6,0.0405,1.334,0.2236,10.3728,-3.5268,0.216,0.2316,0.2158,0.2314
C7,0.0859,1.9008,0.1967,9.5933,-3.0596,0.1901,0.2036,0.19,0.2034
C8,0.0472,1.6003,0.1733,11.924,-3.2012,0.1677,0.1792,0.1676,0.179
C9,0.0864,-1.6296,0.1913,11.4548,-3.1103,0.1841,0.1989,0.1839,0.1987
C10,0.0689,1.586,0.1801,10.64,-3.2738,0.1745,0.186,0.1744,0.1858
C11,0.034,1.4426,0.1736,17.365,-3.1831,0.1669,0.1808,0.1667,0.1806
D2,0.042,1.4494,0.2396,10.535,-3.4633,0.2318,0.2479,0.2316,0.2477
D3,0.0593,1.5451,0.2487,9.6146,-3.4353,0.2409,0.257,0.2407,0.2568
D4,0.0454,-1.4392,0.2337,10.5831,-3.447,0.2259,0.2418,0.2258,0.2416
D5,0.0941,1.468,0.2586,10.9073,-3.4511,0.2501,0.2677,0.2499,0.2674
D6,0.0472,1.4153,0.2378,9.6277,-3.4933,0.2299,0.2461,0.2298,0.2458
D7,0.0632,1.6495,0.1917,9.7351,-3.2971,0.1862,0.1975,0.1861,0.1973
D8,0.0755,1.7097,0.16,12.6619,-3.181,0.1541,0.1663,0.154,0.1661
D9,0.0845,1.5697,0.1923,12.1905,-3.2704,0.1861,0.1987,0.186,0.1985
D10,0.0807,1.6422,0.185,10.6146,-3.3275,0.1798,0.1905,0.1797,0.1903
D11,0.053,1.5184,0.1875,11.0485,-3.1944,0.1806,0.1949,0.1804,0.1947
E2,0.0415,1.4466,0.2381,10.5825,-3.4838,0.2304,0.2461,0.2302,0.2459
E3,0.0406,1.3953,0.2315,10.3909,-3.5063,0.2238,0.2396,0.2237,0.2393
E4,0.0667,1.448,0.2442,9.9008,-3.4783,0.2363,0.2525,0.2361,0.2523
E5,0.0401,1.5489,0.2523,11.7127,-3.3975,0.2441,0.261,0.2439,0.2607
E6,0.0453,1.4796,0.2495,10.3199,-3.4019,0.2408,0.2588,0.2406,0.2585
E7,0.0651,1.5495,0.1812,10.9771,-3.2156,0.1749,0.1879,0.1747,0.1877
E8,0.0366,1.6895,0.1534,11.4464,-3.3581,0.1484,0.1585,0.1483,0.1584
E9,0.0774,1.5903,0.1905,11.6641,-3.1077,0.1832,0.1982,0.183,0.198
E10,0.0903,1.5113,0.1759,10.5467,-3.3358,0.1705,0.1817,0.1704,0.1815
E11,0.0852,1.5315,0.1984,10.9712,-3.3231,0.1922,0.205,0.1921,0.2048
F2,0.0538,1.7158,0.2625,11.4888,-3.3256,0.2545,0.2709,0.2544,0.2707
F3,0.0785,1.5699,0.2535,9.8874,-3.3946,0.2452,0.2622,0.245,0.2619
F4,0.0498,1.577,0.2496,11.8817,-3.3982,0.2417,0.2579,0.2416,0.2577
F5,0.066,1.4402,0.2467,10.2348,-3.501,0.2388,0.2551,0.2386,0.2548
F6,0.042,1.4725,0.2427,10.4162,-3.4484,0.2347,0.2512,0.2345,0.2509
F7,0.0583,1.5623,0.1824,11.0476,-3.2089,0.1761,0.1889,0.176,0.1887
F8,0.0427,-1.7378,0.1636,11.7962,-3.1949,0.158,0.1694,0.1579,0.1693
F9,0.0507,1.6034,0.1884,11.7754,-3.1632,0.1818,0.1954,0.1817,0.1952
F10,0.0462,-1.5276,0.1747,11.8026,-3.3133,0.1694,0.1804,0.1693,0.1802
F11,0.0595,1.5291,0.1921,11.815,-3.1872,0.185,0.1997,0.1848,0.1994
G2,0.0602,1.53,0.2511,10.8981,-3.4006,0.2429,0.2598,0.2427,0.2596
G3,0.0364,-1.4288,0.2337,12.1328,-3.4829,0.2261,0.2418,0.2259,0.2416
