Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B2,0.0394,1.4286,0.2342,12.3119,-3.434,0.2261,0.2427,0.2259,0.2424
B3,0.0338,1.4496,0.2111,11.3179,-3.5083,0.2049,0.2177,0.2048,0.2175
B4,0.0356,1.4271,0.2223,11.915,-3.4347,0.2148,0.2302,0.2147,0.2299
B5,0.0368,-1.4874,0.2382,12.6915,-3.3629,0.2298,0.2471,0.2296,0.2468
B6,0.0395,1.408,0.2043,14.5541,-3.4069,0.1974,0.2116,0.1972,0.2114
B7,0.0791,1.5553,0.2362,9.7348,-3.2704,0.227,0.246,0.2268,0.2457
B8,0.0415,-1.4667,0.2065,13.1511,-3.416,0.1999,0.2135,0.1997,0.2133
B9,0.0578,1.3374,0.1784,13.8781,-3.5449,0.1731,0.184,0.173,0.1839
B10,0.0467,1.6457,0.1743,11.7949,-3.4734,0.1685,0.1803,0.1684,0.1801
B11,0.0286,1.5962,0.1626,15.7391,-3.369,0.1563,0.1694,0.1561,0.1691
C2,0.0442,1.4068,0.2358,9.1653,-3.5238,0.2282,0.2438,0.228,0.2436
C3,0.0475,1.3771,0.2046,9.1939,-3.6343,0.199,0.2105,0.1989,0.2103
C4,0.0643,1.4222,0.2334,9.5789,-3.6105,0.2268,0.2404,0.2267,0.2402
C5,0.0504,1.4238,0.2306,9.4781,-3.5505,0.2236,0.2379,0.2235,0.2377
C6,0.0472,1.4027,0.2042,10.2944,-3.6475,0.1988,0.2099,0.1987,0.2097
C7,0.0466,1.5203,0.227,9.0684,-3.2076,0.2173,0.2373,0.217,0.2369
C8,0.0337,1.4457,0.2007,14.9007,-3.3238,0.1935,0.2083,0.1934,0.208
C9,0.0576,1.402,0.1763,11.5051,-3.6979,0.1721,0.1807,0.1721,0.1806
C10,0.0506,1.5931,0.175,9.6844,-3.5838,0.1697,0.1805,0.1696,0.1803
C11,0.0325,1.5512,0.1621,12.6313,-3.4974,0.1565,0.1681,0.1564,0.1679
D2,0.0396,-1.3974,0.2309,9.7421,-3.4735,0.223,0.2392,0.2228,0.239
D3,0.0389,1.3912,0.2026,9.3457,-3.6097,0.197,0.2084,0.1969,0.2083
D4,0.0491,-1.4494,0.2301,8.8542,-3.5458,0.2233,0.2373,0.2232,0.2371
D5,0.0553,-1.4095,0.2288,9.7025,-3.5546,0.2218,0.2362,0.2217,0.236
D6,0.0434,-1.4593,0.2085,10.623,-3.5849,0.2029,0.2144,0.2028,0.2142
D7,0.0409,1.4675,0.2338,10.1496,-3.41,0.226,0.2421,0.2258,0.2418
D8,0.054,1.4386,0.2036,10.5976,-3.656,0.1984,0.2089,0.1983,0.2088
D9,0.0452,1.2966,0.1619,11.5654,-3.7478,0.158,0.166,0.1579,0.1659
D10,0.0431,1.6172,0.1716,10.062,-3.5604,0.1663,0.1773,0.1662,0.1771
D11,0.0439,1.5552,0.1662,10.2373,-3.6604,0.1614,0.1712,0.1614,0.171
E2,0.0408,1.3984,0.2332,9.3138,-3.5029,0.2254,0.2414,0.2253,0.2411
E3,0.0376,1.5108,0.2162,9.9255,-3.5695,0.2105,0.2221,0.2104,0.2219
E4,0.055,1.4549,0.2316,8.6025,-3.5835,0.2251,0.2385,0.2249,0.2383
E5,0.0393,1.3816,0.2254,9.8872,-3.5458,0.2182,0.2329,0.2181,0.2327
E6,0.0474,1.4555,0.2097,10.2674,-3.6522,0.2044,0.2152,0.2043,0.2151
E7,0.0478,1.5335,0.2405,9.5789,-3.4252,0.233,0.2484,0.2329,0.2482
E8,0.0497,1.463,0.2046,10.5579,-3.5943,0.1991,0.2102,0.199,0.2101
E9,0.0467,-1.4433,0.1779,11.6505,-3.579,0.1733,0.1827,0.1732,0.1826
E10,0.0344,1.5656,0.1728,10.0625,-3.4529,0.1668,0.1792,0.1667,0.1789
E11,0.038,1.6123,0.1668,11.7257,-3.4822,0.1612,0.1728,0.1611,0.1726
F2,0.0374,1.4364,0.234,9.617,-3.4872,0.2264,0.2421,0.2263,0.2418
F3,0.0441,1.4074,0.2049,9.0023,-3.7124,0.1999,0.2101,0.1998,0.21
F4,0.0515,1.4479,0.2314,8.6068,-3.5629,0.2246,0.2384,0.2245,0.2382
F5,0.0417,1.4422,0.228,9.6953,-3.4904,0.2208,0.2356,0.2207,0.2354
F6,0.0435,1.4902,0.213,10.031,-3.6258,0.2076,0.2187,0.2075,0.2185
F7,0.0478,1.5882,0.244,9.6887,-3.346,0.236,0.2523,0.2359,0.2521
F8,0.0407,1.456,0.2031,9.9565,-3.5791,0.1976,0.2089,0.1975,0.2087
F9,0.0565,-1.4399,0.1791,11.7211,-3.6134,0.1746,0.1838,0.1745,0.1837
F10,0.0483,1.453,0.1973,10.4824,-3.3911,0.1909,0.2039,0.1908,0.2037
F11,0.0375,1.5553,0.1668,12.578,-3.4565,0.1608,0.1731,0.1607,0.1729
G2,0.0333,1.4215,0.2326,10.6247,-3.471,0.2248,0.2408,0.2246,0.2405
G3,0.0368,1.486,0.216,10.6666,-3.5331,0.21,0.2223,0.2099,0.2222
G4,0.0568,-1.5232,0.2371,9.1619,-3.565,0.2306,0.2438,0.2305,0.2437
G5,0.0416,1.4387,0.2301,10.4338,-3.4612,0.2225,0.2381,0.2223,0.2379
G6,0.0431,1.3701,0.2089,11.1641,-3.5463,0.2025,0.2157,0.2023,0.2155
G7,0.0411,1.5393,0.2382,12.5812,-3.3425,0.2301,0.2467,0.2299,0.2464
G8,0.038,-1.5995,0.2146,12.1411,-3.3916,0.2083,0.2212,0.2081,0.221
G9,0.0297,1.4988,0.1845,16.2287,-3.3495,0.1786,0.1908,0.1785,0.1906
G10,0.0532,1.49,0.2002,12.78,-3.2885,0.1932,0.2076,0.1931,0.2073
G11,0.0221,1.6325,0.1613,17.1548,-3.3511,0.1552,0.1678,0.1551,0.1676
