Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
F2,0.0407,1.4777,0.2563,9.3265,-3.4947,0.248,0.2649,0.2479,0.2647
F3,0.0431,1.5169,0.2604,8.9972,-3.5211,0.2526,0.2686,0.2524,0.2683
F4,0.0439,1.4961,0.2578,8.7865,-3.5909,0.2505,0.2654,0.2503,0.2652
F5,0.0488,1.6074,0.2457,10.1389,-3.3608,0.2379,0.2539,0.2377,0.2536
F6,0.0692,1.4508,0.2592,10.6681,-3.5802,0.2515,0.2674,0.2513,0.2672
F7,0.0671,1.5062,0.2326,9.6779,-3.2541,0.2236,0.2422,0.2233,0.2418
F8,0.0774,1.6423,0.2194,8.2396,-3.2324,0.21,0.2293,0.2098,0.2289
F9,0.0655,1.5016,0.2254,8.7145,-3.644,0.2198,0.2312,0.2197,0.2311
F10,0.0634,-1.4954,0.2442,9.2372,-3.3291,0.2354,0.2536,0.2352,0.2533
F11,0.0939,1.5798,0.2455,7.9825,-3.4215,0.2381,0.2533,0.238,0.2531
G2,0.0348,1.3308,0.2376,10.5182,-3.516,0.2292,0.2465,0.229,0.2462
G3,0.0536,-1.4536,0.2472,8.5281,-3.4717,0.2391,0.2558,0.2389,0.2555
G4,0.0387,1.4047,0.2459,9.5326,-3.5765,0.2383,0.2539,0.2382,0.2537
G5,0.0568,-1.5176,0.2399,10.7258,-3.4323,0.2323,0.2479,0.2322,0.2476
G6,0.0492,1.5205,0.2629,10.0167,-3.4734,0.2546,0.2716,0.2544,0.2714
G7,0.0437,1.5969,0.2406,12.7109,-3.2129,0.2316,0.2502,0.2314,0.2498
G8,0.044,1.6578,0.2125,11.6142,-3.1495,0.2024,0.2234,0.2021,0.2229
G9,0.0519,-1.5133,0.2443,10.8387,-3.4238,0.2364,0.2526,0.2362,0.2523
G10,0.0429,1.6169,0.2461,11.5325,-3.2407,0.2373,0.2554,0.2371,0.2551
G11,0.0361,1.4804,0.2308,12.866,-3.3126,0.2224,0.2398,0.2222,0.2395
