Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B2,0.036,1.4856,0.2556,10.9117,-3.4144,0.2468,0.265,0.2466,0.2647
B3,0.0316,1.4513,0.2566,11.5127,-3.4458,0.2477,0.266,0.2475,0.2657
B4,0.0448,1.5706,0.2701,9.0896,-3.4603,0.2618,0.2788,0.2616,0.2785
B5,0.0336,1.5722,0.2394,13.2581,-3.3228,0.2312,0.248,0.231,0.2477
B6,0.0336,1.4637,0.2538,11.4045,-3.4203,0.245,0.2632,0.2448,0.2629
B7,0.0594,1.5431,0.2376,9.9015,-3.2778,0.2289,0.2468,0.2287,0.2465
B8,0.0544,1.7543,0.2214,8.592,-3.2332,0.2123,0.2311,0.2121,0.2307
B9,0.0647,1.4695,0.2149,8.3699,-3.4574,0.2081,0.2219,0.208,0.2217
B10,0.0687,1.5057,0.2396,11.0893,-3.1455,0.229,0.2509,0.2287,0.2504
B11,0.0383,1.5052,0.2194,10.068,-3.207,0.2098,0.2297,0.2096,0.2293
C2,0.0521,1.4599,0.2498,7.9822,-3.5626,0.2423,0.2577,0.2422,0.2574
C3,0.0442,-1.4833,0.2635,9.1036,-3.4965,0.2551,0.2725,0.2549,0.2722
C4,0.051,-1.5231,0.261,8.1201,-3.5785,0.2537,0.2686,0.2535,0.2684
C5,0.0439,-1.6196,0.2424,12.0102,-3.315,0.2344,0.2507,0.2343,0.2505
C6,0.0395,1.5488,0.2625,12.5622,-3.3628,0.2534,0.272,0.2532,0.2717
C7,0.0542,1.4979,0.2293,9.55,-3.3199,0.221,0.238,0.2209,0.2377
C8,0.0699,1.7317,0.2234,8.7564,-3.1958,0.2137,0.2338,0.2135,0.2334
C9,0.0521,-1.4842,0.2192,8.3355,-3.5511,0.2131,0.2254,0.213,0.2253
C10,0.0615,1.5226,0.2462,9.8957,-3.338,0.2376,0.2552,0.2374,0.2549
C11,0.0497,1.5092,0.2259,9.9672,-3.2024,0.2161,0.2363,0.2159,0.2359
D2,0.0563,-1.5069,0.2532,8.2671,-3.4516,0.245,0.2618,0.2448,0.2615
D3,0.0401,1.4386,0.2552,9.6806,-3.4968,0.2468,0.2642,0.2466,0.2639
D4,0.0473,1.4564,0.2563,8.7012,-3.5952,0.2488,0.2642,0.2487,0.264
D5,0.0416,1.5412,0.2379,10.253,-3.4086,0.2304,0.2459,0.2302,0.2456
D6,0.047,1.4497,0.2539,10.1322,-3.4907,0.2457,0.2627,0.2455,0.2624
D7,0.038,1.5974,0.2349,11.0759,-3.2101,0.2261,0.2443,0.2259,0.244
D8,0.0524,1.7039,0.2104,8.6068,-3.3283,0.2019,0.2194,0.2017,0.219
D9,0.0764,1.4939,0.2427,10.4194,-3.5013,0.2354,0.2503,0.2352,0.2501
D10,0.0654,1.5021,0.2367,11.3185,-3.0383,0.2248,0.2495,0.2245,0.249
D11,0.0612,1.4862,0.2268,8.7974,-3.2355,0.2172,0.2371,0.217,0.2367
E2,0.0492,-1.4419,0.2498,8.2568,-3.5503,0.2421,0.2579,0.2419,0.2577
E3,0.0436,1.475,0.2588,8.8999,-3.5325,0.2508,0.2672,0.2507,0.267
E4,0.0507,1.4965,0.2621,8.3659,-3.5738,0.2545,0.2701,0.2543,0.2698
E5,0.067,1.5021,0.2401,9.4645,-3.4164,0.2323,0.2483,0.2321,0.2481
E6,0.0419,1.5294,0.2566,9.9809,-3.4472,0.2484,0.2651,0.2483,0.2649
E7,0.0947,1.459,0.2281,8.9414,-3.5143,0.2212,0.2354,0.2211,0.2352
E8,0.0541,1.6778,0.22,8.3713,-3.2425,0.2107,0.2298,0.2105,0.2294
E9,0.0889,1.4538,0.2207,8.5221,-3.6632,0.2152,0.2265,0.2151,0.2263
E10,0.0471,1.4279,0.2371,9.6534,-3.3863,0.2285,0.2461,0.2283,0.2458
E11,0.0469,1.4804,0.2348,8.7856,-3.3017,0.2258,0.2444,0.2256,0.244
