Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
A11,0.0098,-0.0582,-0.2379,0.289,-5.9385,-0.3811,-0.0947,-1.0967,0.6209
B2,0.0393,1.5465,0.2589,11.3207,-3.3745,0.2501,0.2682,0.2499,0.2679
B3,0.0556,1.503,0.2655,8.4714,-3.5068,0.2573,0.2741,0.2571,0.2739
B4,0.0401,1.487,0.2495,12.119,-3.4245,0.2411,0.2584,0.2409,0.2581
B5,0.0431,1.4883,0.2546,11.6636,-3.3691,0.2455,0.2643,0.2453,0.264
B6,0.046,1.5591,0.2583,10.1231,-3.4067,0.2498,0.2672,0.2497,0.2669
B7,0.0605,1.5508,0.2196,9.5437,-3.3218,0.2118,0.2278,0.2116,0.2276
B8,0.0365,1.5497,0.1632,7.8153,-4.164,0.1606,0.1658,0.1606,0.1658
B9,0.0383,1.3949,0.2123,10.1767,-3.534,0.2058,0.219,0.2057,0.2188
B10,0.0266,1.6201,0.1939,12.2701,-3.8291,0.1904,0.1975,0.1904,0.1974
B11,0.0483,1.5997,0.2288,10.4593,-3.3345,0.2215,0.2364,0.2213,0.2362
C2,0.0924,1.4821,0.2585,8.2207,-3.5942,0.2511,0.2662,0.2509,0.266
C3,0.0851,1.5758,0.2717,7.91,-3.4027,0.2628,0.2811,0.2627,0.2808
C4,0.0514,1.4342,0.2372,8.9028,-3.5653,0.2301,0.2446,0.23,0.2444
C5,0.0721,1.3649,0.2256,8.485,-3.7011,0.2195,0.2319,0.2194,0.2318
C6,0.0624,1.6023,0.2476,7.7164,-3.5319,0.2409,0.2545,0.2408,0.2543
C7,0.0682,1.4748,0.2164,8.0074,-3.5128,0.21,0.2231,0.2099,0.2229
C8,0.0422,1.5226,0.1603,8.0261,-4.1741,0.1577,0.1629,0.1576,0.1629
C9,0.1092,1.5928,0.2399,7.5402,-3.6044,0.234,0.246,0.2339,0.2459
C10,0.0297,1.5661,0.1858,11.0517,-4.0476,0.183,0.1886,0.183,0.1885
C11,0.0516,1.6328,0.2336,10.3238,-3.3175,0.2262,0.2413,0.2261,0.2411
D2,0.0547,1.4114,0.2429,8.3191,-3.5694,0.2354,0.2507,0.2353,0.2505
D3,0.0463,1.4962,0.2627,9.1911,-3.5066,0.2544,0.2713,0.2543,0.271
D4,0.0704,1.4642,0.242,8.9298,-3.6208,0.2353,0.2491,0.2352,0.2489
D5,0.081,1.4815,0.2348,7.9516,-3.5629,0.2281,0.2417,0.228,0.2415
D6,0.0831,1.5853,0.2458,7.5943,-3.4988,0.239,0.253,0.2388,0.2528
D7,0.0619,1.5475,0.2189,8.0495,-3.4371,0.2122,0.226,0.2121,0.2257
D8,0.0751,1.5607,0.1766,8.5141,-3.9349,0.173,0.1804,0.173,0.1803
D9,0.0699,1.6327,0.2371,7.507,-3.5423,0.2311,0.2433,0.231,0.2432
D10,0.0562,1.5977,0.1854,9.1574,-4.0106,0.1826,0.1882,0.1826,0.1882
D11,0.0699,-1.5979,0.2313,10.0956,-3.4067,0.2245,0.2385,0.2244,0.2383
E1,0.0109,-0.0112,-0.0547,1.2571,-4.2655,NA,NA,-0.2835,0.1741
E2,0.0771,-1.5589,0.2638,7.9282,-3.5043,0.256,0.272,0.2558,0.2717
E3,0.061,-1.5004,0.2646,8.4104,-3.5434,0.2567,0.2729,0.2566,0.2727
E4,0.0463,1.5277,0.2514,9.9065,-3.4952,0.2437,0.2594,0.2436,0.2592
E5,0.0661,1.4932,0.246,8.7121,-3.432,0.2379,0.2546,0.2378,0.2543
E6,0.0735,-1.5658,0.2402,7.6224,-3.5863,0.234,0.2466,0.2339,0.2464
E7,0.0513,1.443,0.2079,8.4259,-3.5447,0.2018,0.2142,0.2017,0.214
E8,0.0661,1.7126,0.1752,6.7187,-3.9652,0.1721,0.1784,0.1721,0.1784
E9,0.0876,1.6125,0.2451,6.1005,-3.6168,0.2393,0.2513,0.2392,0.2511
E10,0.0307,1.5148,0.169,8.8493,-4.3102,0.1671,0.171,0.1671,0.171
E11,0.0496,1.6183,0.229,10.0332,-3.3697,0.2222,0.2363,0.222,0.2361
F2,0.0514,1.4106,0.248,9.0143,-3.5187,0.2398,0.2565,0.2397,0.2562
F3,0.0727,1.4805,0.253,7.6695,-3.7008,0.2467,0.2597,0.2465,0.2595
F4,0.0694,-1.5053,0.242,8.1138,-3.5931,0.2355,0.2489,0.2353,0.2487
F5,0.0453,-1.5858,0.2627,9.7506,-3.4132,0.2544,0.2715,0.2542,0.2712
F6,0.073,1.519,0.2591,9.6503,-3.5543,0.2516,0.2669,0.2515,0.2667
F7,0.0613,1.5809,0.2141,8.0508,-3.3324,0.2068,0.2217,0.2067,0.2215
F8,0.077,1.7677,0.1856,7.175,-3.5102,0.1805,0.1909,0.1805,0.1908
F9,0.0537,1.6048,0.2299,8.0986,-3.5295,0.2239,0.2361,0.2238,0.236
F10,0.0335,1.6289,0.1904,9.328,-4.1418,0.188,0.1929,0.1879,0.1928
F11,0.0473,1.5942,0.2279,10.2192,-3.359,0.2209,0.2353,0.2207,0.2351
G2,0.0549,1.4857,0.2601,9.6941,-3.4767,0.2517,0.2689,0.2515,0.2687
G3,0.0715,1.504,0.2655,8.3121,-3.5975,0.2581,0.2733,0.2579,0.2731
G4,0.037,1.5478,0.2527,10.077,-3.4745,0.245,0.2608,0.2448,0.2605
G5,0.0359,1.5433,0.2558,11.0697,-3.4062,0.2474,0.2647,0.2472,0.2644
G6,0.0581,1.3872,0.2343,9.3105,-3.5653,0.227,0.242,0.2269,0.2418
G7,0.0491,1.5621,0.2305,12.3564,-3.2421,0.2219,0.2397,0.2217,0.2393
G8,0.0588,1.7098,0.1833,9.6472,-3.5669,0.1784,0.1884,0.1784,0.1882
G9,0.0409,1.5411,0.2316,12.3129,-3.4219,0.2244,0.2392,0.2243,0.2389
G10,0.0349,1.649,0.2025,12.8515,-3.7121,0.1984,0.2067,0.1983,0.2066
G11,0.044,1.6808,0.2382,12.8895,-3.228,0.2302,0.2467,0.23,0.2464
