Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B2,0.0382,1.4968,0.2513,9.18,-3.4636,0.2433,0.2598,0.2431,0.2595
B3,0.0312,1.5612,0.2618,11.5392,-3.3713,0.2529,0.2711,0.2527,0.2708
B4,0.0269,-1.5418,0.2528,12.9701,-3.3551,0.244,0.2621,0.2438,0.2618
B5,0.0395,1.6245,0.2527,10.1015,-3.3861,0.2449,0.2609,0.2448,0.2607
B6,0.0338,1.5663,0.2651,10.0526,-3.5079,0.2573,0.2733,0.2572,0.273
B7,0.0821,1.5481,0.2486,9.3585,-3.4063,0.2407,0.2569,0.2405,0.2566
B8,0.075,1.4778,0.2414,9.1303,-3.4222,0.2334,0.2498,0.2333,0.2496
B9,0.0412,1.5368,0.1789,10.3467,-3.3796,0.1726,0.1856,0.1724,0.1853
B10,0.0485,1.5087,0.1761,9.6468,-3.4802,0.1716,0.1809,0.1715,0.1807
B11,0.0571,1.5427,0.2402,9.6396,-3.1642,0.2302,0.2509,0.23,0.2505
C2,0.029,1.3166,0.2236,11.1919,-3.4943,0.2156,0.2321,0.2154,0.2318
C3,0.0366,1.3396,0.2446,9.2219,-3.5063,0.2359,0.2538,0.2357,0.2535
C4,0.038,1.439,0.2483,9.2555,-3.4776,0.24,0.2571,0.2399,0.2568
C5,0.0458,1.3782,0.2301,8.9924,-3.473,0.2222,0.2384,0.222,0.2382
C6,0.0374,1.5744,0.2709,9.4186,-3.48,0.2628,0.2795,0.2627,0.2792
C7,0.0412,1.52,0.2411,11.319,-3.4013,0.2332,0.2494,0.233,0.2492
C8,0.0808,1.4023,0.2344,9.1408,-3.5332,0.2271,0.2421,0.2269,0.2419
C9,0.037,1.5158,0.1793,10.8862,-3.3392,0.1728,0.1861,0.1727,0.1859
C10,0.0341,-1.643,0.1427,9.6663,-3.718,0.1393,0.1461,0.1393,0.146
C11,0.0581,1.4718,0.2373,10.3266,-3.1985,0.2272,0.2481,0.2269,0.2477
D2,0.0465,1.3565,0.2378,8.2704,-3.535,0.2297,0.2462,0.2296,0.2459
D3,0.0449,1.4647,0.265,8.7479,-3.4456,0.2559,0.2747,0.2557,0.2743
D4,0.0528,1.4237,0.2515,9.308,-3.4799,0.2429,0.2604,0.2428,0.2602
D5,0.0767,1.5105,0.2537,8.105,-3.4867,0.2459,0.2619,0.2458,0.2616
D6,0.0271,1.5465,0.2585,11.2964,-3.3695,0.2496,0.2679,0.2495,0.2676
D7,0.0408,-1.5254,0.2407,10.7896,-3.3962,0.2329,0.2491,0.2327,0.2488
D8,0.0408,1.4856,0.237,10.5099,-3.4187,0.2292,0.2452,0.229,0.2449
D9,0.0301,1.5313,0.1829,14.7226,-3.2055,0.1761,0.19,0.176,0.1898
D10,0.0629,1.4475,0.1804,9.0642,-3.5131,0.1755,0.1854,0.1754,0.1853
D11,0.0694,-1.5174,0.2413,8.2757,-3.3739,0.2332,0.2499,0.233,0.2496
E2,0.0503,1.4865,0.2587,8.8243,-3.4412,0.2499,0.2679,0.2497,0.2676
E3,0.0384,1.5543,0.2624,9.3554,-3.4344,0.2541,0.2712,0.2539,0.2709
E4,0.0553,-1.4721,0.2565,8.6243,-3.4764,0.2482,0.2653,0.248,0.2651
E5,0.0512,1.5497,0.2502,8.5639,-3.4233,0.2424,0.2585,0.2422,0.2583
E6,0.0328,1.5125,0.2247,9.3342,-3.4501,0.2156,0.2344,0.2154,0.234
E7,0.0532,1.557,0.246,8.8123,-3.4516,0.2386,0.2538,0.2385,0.2535
E8,0.0812,1.5937,0.2512,9.0137,-3.4488,0.2438,0.2589,0.2437,0.2587
E9,0.0487,1.6429,0.1737,7.1457,-3.4976,0.1681,0.1796,0.168,0.1794
E10,0.055,1.676,0.1606,8.6462,-3.5942,0.1563,0.1651,0.1563,0.1649
E11,0.0643,1.5,0.2427,8.2019,-3.3663,0.2344,0.2515,0.2342,0.2512
E12,0,0.0071,0.0292,0.9704,-7.7963,0.0206,0.045,0.0192,0.0392
F2,0.0545,1.4555,0.2483,7.6471,-3.5087,0.2404,0.2565,0.2403,0.2563
F3,0.0423,1.5221,0.2624,10.1049,-3.4362,0.2538,0.2714,0.2536,0.2711
F4,0.0516,1.5868,0.2641,9.8053,-3.3652,0.2553,0.2734,0.2551,0.2731
F5,0.0578,-1.5339,0.246,9.3545,-3.4686,0.2386,0.2538,0.2384,0.2536
F6,0.0308,1.4886,0.2246,8.959,-3.4136,0.2151,0.2347,0.2149,0.2343
F7,0.0359,-1.5147,0.2403,11.4072,-3.3922,0.2323,0.2488,0.2322,0.2485
F8,0.0904,1.4943,0.2399,8.2748,-3.5215,0.2329,0.2473,0.2327,0.2471
F9,0.0323,1.7648,0.1833,9.5689,-3.434,0.1774,0.1895,0.1773,0.1893
F10,0.0537,1.5423,0.1737,9.0502,-3.3403,0.1685,0.1791,0.1685,0.179
F11,0.1047,1.6034,0.2507,6.0202,-3.466,0.2437,0.2582,0.2435,0.258
G2,0.0404,1.2927,0.2285,8.4342,-3.5983,0.221,0.2365,0.2208,0.2363
G3,0.0414,-1.6031,0.2655,9.5224,-3.3519,0.2567,0.2748,0.2565,0.2745
G4,0.0731,1.6445,0.2704,8.5243,-3.3654,0.2618,0.2795,0.2616,0.2793
G5,0.0518,1.5283,0.2448,10.0276,-3.4021,0.2368,0.2532,0.2366,0.253
G6,0.0377,-1.4808,0.2583,10.4988,-3.5267,0.2503,0.2666,0.2502,0.2664
G7,0.0337,-1.5195,0.2389,12.2837,-3.3696,0.2308,0.2475,0.2306,0.2472
G8,0.081,1.4985,0.2432,9.379,-3.5152,0.236,0.2508,0.2359,0.2505
G9,0.041,1.5755,0.2014,11.9526,-3.2581,0.1945,0.2086,0.1944,0.2084
G10,0.0197,1.6037,0.1323,16.3539,-3.4428,0.1276,0.1372,0.1275,0.137
G11,0.0957,1.4164,0.2443,9.6786,-3.3929,0.2354,0.2537,0.2352,0.2534
